feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = k=5, feature = telephone, log-likelihood score = 3.73767, sense = phone
feature type = k=3, feature = telephone, log-likelihood score = 3.68888, sense = phone
feature type = -1, feature = telephone, log-likelihood score = 3.55535, sense = phone
feature type = +1, feature = of, log-likelihood score = 3.3499, sense = product
feature type = -2 & -1, feature = on the, log-likelihood score = 3.09104, sense = phone
feature type = -1 & +1, feature = a of, log-likelihood score = 2.99573, sense = product
feature type = -1, feature = access, log-likelihood score = 2.77259, sense = phone
feature type = k=3, feature = access, log-likelihood score = 2.77259, sense = phone
feature type = k=5, feature = access, log-likelihood score = 2.77259, sense = phone
feature type = k=10, feature = access, log-likelihood score = 2.77259, sense = phone
feature type = k=10, feature = market, log-likelihood score = 2.63906, sense = product
feature type = k=10, feature = car, log-likelihood score = 2.56495, sense = product
feature type = k=10, feature = dead, log-likelihood score = 2.56495, sense = phone
feature type = k=3, feature = car, log-likelihood score = 2.48491, sense = product
feature type = k=5, feature = car, log-likelihood score = 2.48491, sense = product
feature type = k=5, feature = dead, log-likelihood score = 2.48491, sense = phone
feature type = k=5, feature = products, log-likelihood score = 2.48491, sense = product
feature type = k=10, feature = call, log-likelihood score = 2.48491, sense = phone
feature type = k=10, feature = phone, log-likelihood score = 2.48491, sense = phone
feature type = k=10, feature = voice, log-likelihood score = 2.48491, sense = phone
feature type = k=10, feature = introduced, log-likelihood score = 2.48491, sense = product
feature type = -1, feature = car, log-likelihood score = 2.3979, sense = product
feature type = -1, feature = a, log-likelihood score = 2.3979, sense = product
feature type = -2 & -1, feature = of the, log-likelihood score = 2.3979, sense = phone
feature type = -1 & +1, feature = the was, log-likelihood score = 2.3979, sense = phone
feature type = k=3, feature = 000, log-likelihood score = 2.3979, sense = phone
feature type = k=3, feature = dead, log-likelihood score = 2.3979, sense = phone
feature type = k=5, feature = came, log-likelihood score = 2.3979, sense = phone
feature type = k=10, feature = came, log-likelihood score = 2.3979, sense = phone
feature type = -1 & +1, feature = new of, log-likelihood score = 2.30259, sense = product
feature type = k=3, feature = on, log-likelihood score = 2.30259, sense = phone
feature type = k=5, feature = ibm, log-likelihood score = 2.30259, sense = product
feature type = k=10, feature = machines, log-likelihood score = 2.30259, sense = product
feature type = k=5, feature = sales, log-likelihood score = 2.19722, sense = product
feature type = k=5, feature = call, log-likelihood score = 2.19722, sense = phone
feature type = k=5, feature = over, log-likelihood score = 2.19722, sense = phone
feature type = k=10, feature = products, log-likelihood score = 2.19722, sense = product
feature type = k=10, feature = food, log-likelihood score = 2.19722, sense = product
feature type = k=10, feature = companies, log-likelihood score = 2.19722, sense = phone
feature type = k=10, feature = frozen, log-likelihood score = 2.19722, sense = product
feature type = k=10, feature = got, log-likelihood score = 2.19722, sense = phone
feature type = k=10, feature = sell, log-likelihood score = 2.19722, sense = product
feature type = k=3, feature = was, log-likelihood score = 2.14007, sense = phone
feature type = k=10, feature = sales, log-likelihood score = 2.14007, sense = product
feature type = k=3, feature = its, log-likelihood score = 2.07944, sense = product
feature type = k=3, feature = over, log-likelihood score = 2.07944, sense = phone
feature type = k=3, feature = introduced, log-likelihood score = 2.07944, sense = product
feature type = k=5, feature = introduced, log-likelihood score = 2.07944, sense = product
feature type = k=10, feature = personal, log-likelihood score = 2.07944, sense = product
feature type = k=10, feature = ps/2, log-likelihood score = 2.07944, sense = product
feature type = k=10, feature = private, log-likelihood score = 2.07944, sense = phone
feature type = k=10, feature = inc, log-likelihood score = 2.0149, sense = product
feature type = k=5, feature = was, log-likelihood score = 1.99243, sense = phone
feature type = -1, feature = computer, log-likelihood score = 1.94591, sense = product
feature type = -1, feature = ps/2, log-likelihood score = 1.94591, sense = product
feature type = -2 & -1, feature = a new, log-likelihood score = 1.94591, sense = product
feature type = +1 & +2, feature = was dead, log-likelihood score = 1.94591, sense = phone
feature type = k=3, feature = gab, log-likelihood score = 1.94591, sense = phone
feature type = k=3, feature = private, log-likelihood score = 1.94591, sense = phone
feature type = k=3, feature = came, log-likelihood score = 1.94591, sense = phone
feature type = k=3, feature = ps/2, log-likelihood score = 1.94591, sense = product
feature type = k=5, feature = gab, log-likelihood score = 1.94591, sense = phone
feature type = k=5, feature = 3, log-likelihood score = 1.94591, sense = phone
feature type = k=5, feature = private, log-likelihood score = 1.94591, sense = phone
feature type = k=5, feature = frozen, log-likelihood score = 1.94591, sense = product
feature type = k=5, feature = sell, log-likelihood score = 1.94591, sense = product
feature type = k=5, feature = under, log-likelihood score = 1.94591, sense = product
feature type = k=5, feature = ps/2, log-likelihood score = 1.94591, sense = product
feature type = k=10, feature = gab, log-likelihood score = 1.94591, sense = phone
feature type = k=10, feature = apparel, log-likelihood score = 1.94591, sense = product
feature type = k=10, feature = international, log-likelihood score = 1.94591, sense = product
feature type = k=10, feature = toll, log-likelihood score = 1.94591, sense = phone
feature type = k=10, feature = years, log-likelihood score = 1.94591, sense = product
feature type = k=10, feature = when, log-likelihood score = 1.94591, sense = phone
feature type = k=10, feature = you, log-likelihood score = 1.94591, sense = phone
feature type = k=10, feature = cars, log-likelihood score = 1.94591, sense = product
feature type = k=10, feature = ibm's, log-likelihood score = 1.94591, sense = product
